Surface,Type,Facades,s,e,l
Floor,Eye,3,0.0,124.0,6
Floor,Eye,3,0.0,124.0,18
Floor,Eye,3,0.0,124.0,11
Floor,Eye,3,0.0,124.0,25
Floor,Eye,3,0.0,124.0,26
Floor,Eye,3,0.0,124.0,44
Floor,Eye,3,0.0,124.0,26
Floor,Eye,3,0.0,124.0,24
Floor,Eye,3,0.0,124.0,23
Floor,Eye,3,0.0,124.0,20
Floor,Eye,3,0.0,124.0,26
Floor,Eye,3,0.0,124.0,14
Floor,Eye,3,0.0,124.0,20
Floor,Eye,3,0.0,124.0,30
Floor,Eye,3,0.0,124.0,24
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,13
Floor,Eye,3,0.0,124.0,19
Floor,Eye,3,0.0,124.0,12
Floor,Eye,3,0.0,124.0,4
Floor,Eye,3,0.0,124.0,4
Floor,Eye,3,0.0,124.0,5
Floor,Eye,3,0.0,124.0,5
Floor,Eye,3,0.0,124.0,6
Floor,Eye,3,0.0,124.0,6
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,11
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,11
Floor,Eye,3,0.0,124.0,12
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,13
Floor,Eye,3,0.0,124.0,13
Floor,Eye,3,0.0,124.0,6
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,6
Floor,Eye,3,0.0,124.0,5
Floor,Eye,3,0.0,124.0,8
Floor,Eye,3,0.0,124.0,7
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,6
Floor,Eye,3,0.0,124.0,4
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,4
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,12
Floor,Eye,3,0.0,124.0,13
Floor,Eye,3,0.0,124.0,7
Floor,Eye,3,0.0,124.0,16
Floor,Eye,3,0.0,124.0,22
Floor,Eye,3,0.0,124.0,15
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,20
Floor,Eye,3,0.0,124.0,13
Floor,Eye,3,0.0,124.0,26
Floor,Eye,3,0.0,124.0,27
Floor,Eye,3,0.0,124.0,31
Floor,Eye,3,0.0,124.0,22
Floor,Eye,3,0.0,124.0,33
Floor,Eye,3,0.0,124.0,49
Floor,Eye,3,0.0,124.0,63
Floor,Eye,3,0.0,124.0,24
Floor,Eye,3,0.0,124.0,20
Floor,Eye,3,0.0,124.0,19
Floor,Eye,3,0.0,124.0,23
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,19
Floor,Eye,3,0.0,124.0,14
Floor,Eye,3,0.0,124.0,4
Floor,Eye,3,0.0,124.0,8
Floor,Eye,3,0.0,124.0,9
Floor,Eye,3,0.0,124.0,20
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,15
Floor,Eye,3,0.0,124.0,14
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,20
Floor,Eye,3,0.0,124.0,20
Floor,Eye,3,0.0,124.0,19
Floor,Eye,3,0.0,124.0,21
Floor,Eye,3,0.0,124.0,18
Floor,Eye,3,0.0,124.0,21
Floor,Eye,3,0.0,124.0,16
Floor,Eye,3,0.0,124.0,6
Floor,Eye,3,0.0,124.0,7
Floor,Eye,3,0.0,124.0,7
Floor,Eye,3,0.0,124.0,5
Floor,Eye,3,0.0,124.0,8
Floor,Eye,3,0.0,124.0,4
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,12
Floor,Eye,3,0.0,124.0,8
Floor,Eye,3,0.0,124.0,18
Floor,Eye,3,0.0,124.0,18
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,14
Floor,Eye,3,0.0,124.0,19
Floor,Eye,3,0.0,124.0,9
Floor,Eye,3,0.0,124.0,18
Floor,Eye,3,0.0,124.0,26
Floor,Eye,3,0.0,124.0,25
Floor,Eye,3,0.0,124.0,25
Floor,Eye,3,0.0,124.0,23
Floor,Eye,3,0.0,124.0,21
Floor,Eye,3,0.0,124.0,34
Floor,Eye,3,0.0,124.0,76
Floor,Eye,3,0.0,124.0,62
Floor,Eye,3,0.0,124.0,40
Floor,Eye,3,0.0,124.0,24
Floor,Eye,3,0.0,124.0,31
Floor,Eye,3,0.0,124.0,24
Floor,Eye,3,0.0,124.0,32
Floor,Eye,3,0.0,124.0,26
Floor,Eye,3,0.0,124.0,16
Floor,Eye,3,0.0,124.0,3
Floor,Eye,3,0.0,124.0,7
Floor,Eye,3,0.0,124.0,14
Floor,Eye,3,0.0,124.0,13
Floor,Eye,3,0.0,124.0,13
Floor,Eye,3,0.0,124.0,11
Floor,Eye,3,0.0,124.0,14
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,15
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,15
Floor,Eye,3,0.0,124.0,12
Floor,Eye,3,0.0,124.0,12
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,15
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,14
Floor,Eye,3,0.0,124.0,11
Floor,Eye,3,0.0,124.0,9
Floor,Eye,3,0.0,124.0,4
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,11
Floor,Eye,3,0.0,124.0,8
Floor,Eye,3,0.0,124.0,14
Floor,Eye,3,0.0,124.0,23
Floor,Eye,3,0.0,124.0,16
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,21
Floor,Eye,3,0.0,124.0,14
Floor,Eye,3,0.0,124.0,14
Floor,Eye,3,0.0,124.0,22
Floor,Eye,3,0.0,124.0,36
Floor,Eye,3,0.0,124.0,23
Floor,Eye,3,0.0,124.0,26
Floor,Eye,3,0.0,124.0,26
Floor,Eye,3,0.0,124.0,28
Floor,Eye,3,0.0,124.0,51
Floor,Eye,3,0.0,124.0,68
Floor,Eye,3,0.0,124.0,68
Floor,Eye,3,0.0,124.0,64
Floor,Eye,3,0.0,124.0,56
Floor,Eye,3,0.0,124.0,44
Floor,Eye,3,0.0,124.0,40
Floor,Eye,3,0.0,124.0,34
Floor,Eye,3,0.0,124.0,23
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,3
Floor,Eye,3,0.0,124.0,1
Floor,Eye,3,0.0,124.0,8
Floor,Eye,3,0.0,124.0,5
Floor,Eye,3,0.0,124.0,13
Floor,Eye,3,0.0,124.0,7
Floor,Eye,3,0.0,124.0,13
Floor,Eye,3,0.0,124.0,12
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,26
Floor,Eye,3,0.0,124.0,21
Floor,Eye,3,0.0,124.0,13
Floor,Eye,3,0.0,124.0,14
Floor,Eye,3,0.0,124.0,19
Floor,Eye,3,0.0,124.0,16
Floor,Eye,3,0.0,124.0,24
Floor,Eye,3,0.0,124.0,24
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,4
Floor,Eye,3,0.0,124.0,5
Floor,Eye,3,0.0,124.0,14
Floor,Eye,3,0.0,124.0,7
Floor,Eye,3,0.0,124.0,3
Floor,Eye,3,0.0,124.0,8
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,15
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,13
Floor,Eye,3,0.0,124.0,11
Floor,Eye,3,0.0,124.0,12
Floor,Eye,3,0.0,124.0,40
Floor,Eye,3,0.0,124.0,28
Floor,Eye,3,0.0,124.0,32
Floor,Eye,3,0.0,124.0,31
Floor,Eye,3,0.0,124.0,27
Floor,Eye,3,0.0,124.0,22
Floor,Eye,3,0.0,124.0,36
Floor,Eye,3,0.0,124.0,41
Floor,Eye,3,0.0,124.0,44
Floor,Eye,3,0.0,124.0,59
Floor,Eye,3,0.0,124.0,75
Floor,Eye,3,0.0,124.0,81
Floor,Eye,3,0.0,124.0,69
Floor,Eye,3,0.0,124.0,67
Floor,Eye,3,0.0,124.0,45
Floor,Eye,3,0.0,124.0,38
Floor,Eye,3,0.0,124.0,30
Floor,Eye,3,0.0,124.0,22
Floor,Eye,3,0.0,124.0,3
Floor,Eye,3,0.0,124.0,5
Floor,Eye,3,0.0,124.0,4
Floor,Eye,3,0.0,124.0,9
Floor,Eye,3,0.0,124.0,4
Floor,Eye,3,0.0,124.0,13
Floor,Eye,3,0.0,124.0,13
Floor,Eye,3,0.0,124.0,13
Floor,Eye,3,0.0,124.0,15
Floor,Eye,3,0.0,124.0,16
Floor,Eye,3,0.0,124.0,21
Floor,Eye,3,0.0,124.0,18
Floor,Eye,3,0.0,124.0,19
Floor,Eye,3,0.0,124.0,21
Floor,Eye,3,0.0,124.0,28
Floor,Eye,3,0.0,124.0,31
Floor,Eye,3,0.0,124.0,11
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,14
Floor,Eye,3,0.0,124.0,8
Floor,Eye,3,0.0,124.0,9
Floor,Eye,3,0.0,124.0,16
Floor,Eye,3,0.0,124.0,11
Floor,Eye,3,0.0,124.0,6
Floor,Eye,3,0.0,124.0,24
Floor,Eye,3,0.0,124.0,28
Floor,Eye,3,0.0,124.0,11
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,27
Floor,Eye,3,0.0,124.0,25
Floor,Eye,3,0.0,124.0,35
Floor,Eye,3,0.0,124.0,35
Floor,Eye,3,0.0,124.0,36
Floor,Eye,3,0.0,124.0,38
Floor,Eye,3,0.0,124.0,35
Floor,Eye,3,0.0,124.0,40
Floor,Eye,3,0.0,124.0,38
Floor,Eye,3,0.0,124.0,31
Floor,Eye,3,0.0,124.0,37
Floor,Eye,3,0.0,124.0,59
Floor,Eye,3,0.0,124.0,118
Floor,Eye,3,0.0,124.0,88
Floor,Eye,3,0.0,124.0,124
Floor,Eye,3,0.0,124.0,108
Floor,Eye,3,0.0,124.0,68
Floor,Eye,3,0.0,124.0,49
Floor,Eye,3,0.0,124.0,36
Floor,Eye,3,0.0,124.0,14
Floor,Eye,3,0.0,124.0,3
Floor,Eye,3,0.0,124.0,3
Floor,Eye,3,0.0,124.0,8
Floor,Eye,3,0.0,124.0,6
Floor,Eye,3,0.0,124.0,7
Floor,Eye,3,0.0,124.0,10
Floor,Eye,3,0.0,124.0,7
Floor,Eye,3,0.0,124.0,20
Floor,Eye,3,0.0,124.0,8
Floor,Eye,3,0.0,124.0,20
Floor,Eye,3,0.0,124.0,20
Floor,Eye,3,0.0,124.0,12
Floor,Eye,3,0.0,124.0,30
Floor,Eye,3,0.0,124.0,28
Floor,Eye,3,0.0,124.0,30
Floor,Eye,3,0.0,124.0,16
Floor,Eye,3,0.0,124.0,22
Floor,Eye,3,0.0,124.0,12
Floor,Eye,3,0.0,124.0,16
Floor,Eye,3,0.0,124.0,19
Floor,Eye,3,0.0,124.0,12
Floor,Eye,3,0.0,124.0,28
Floor,Eye,3,0.0,124.0,17
Floor,Eye,3,0.0,124.0,22
Floor,Eye,3,0.0,124.0,29
